name,description,category,image,calories,protein,carbohydrates,fat,fiber,sugar,nutritionDensityScore,sodium,cholesterol,calcium,iron,potassium,magnesium,zinc,vitaminA,vitaminC,vitaminD,vitaminE,vitaminK
cream cheese,Cream Cheese is a nutritious food rich in essential nutrients.,Dairy,,51,0.9,0.8,5.0,0.0,0.5,7.07,0.016,14.6,0.008,0.082,15.5,0.027,0.039,0.2,0.004,0.0,0.0,0.1
neufchatel cheese,Neufchatel Cheese is a nutritious food rich in essential nutrients.,Dairy,,215,7.8,3.1,19.4,0.0,2.7,130.1,0.3,62.9,99.5,0.1,129.2,8.5,0.7,0.2,0.0,0.0,0.3,0.045
requeijao cremoso light catupiry,Requeijao Cremoso Light Catupiry is a nutritious food rich in essential nutrients.,Others,,49,0.8,0.9,3.6,0.1,3.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ricotta cheese,Ricotta Cheese is a nutritious food rich in essential nutrients.,Dairy,,30,1.5,1.5,2.0,0.0,0.091,5.196,0.017,9.8,0.097,0.097,30.8,0.096,0.035,0.075,0.006,0.0,0.001,0.011
cream cheese low fat,Cream Cheese Low Fat is a nutritious food rich in essential nutrients.,Dairy,,30,1.2,1.2,2.3,0.0,0.9,27.007,0.046,8.1,22.2,0.008,37.1,1.2,0.053,0.016,0.0,0.036,0.009,0.019
cream cheese fat free,Cream Cheese Fat Free is a nutritious food rich in essential nutrients.,Dairy,,19,2.8,1.4,0.2,0.0,1.0,67.679,0.1,2.2,63.2,0.053,50.0,4.0,0.3,0.063,0.0,0.0,0.049,0.059
gruyere cheese,Gruyere Cheese is a nutritious food rich in essential nutrients.,Dairy,,116,8.3,0.1,9.1,0.0,0.1,300.694,0.2,30.8,283.1,0.094,22.7,10.1,1.1,0.061,0.0,0.034,0.035,0.048
cheddar cheese,Cheddar Cheese is a nutritious food rich in essential nutrients.,Dairy,,113,6.4,0.9,9.3,0.0,0.1,215.53,0.2,27.7,198.8,0.077,21.3,7.6,1.0,0.054,0.0,0.06,0.2,0.035
parmesan cheese,Parmesan Cheese is a nutritious food rich in essential nutrients.,Dairy,,71,6.4,0.6,4.5,0.0,0.046,224.777,0.2,12.2,213.1,0.1,16.6,7.9,0.5,0.067,0.0,0.095,0.018,0.021
romano cheese,Romano Cheese is a nutritious food rich in essential nutrients.,Dairy,,19,1.6,0.2,1.3,0.0,0.088,56.38,0.008,5.2,53.2,0.03,4.3,2.1,0.1,0.064,0.0,0.073,0.078,0.004
parmesan cheese grated,Parmesan Cheese Grated is a nutritious food rich in essential nutrients.,Dairy,,21,1.4,0.7,1.4,0.0,0.075,3.745,0.043,4.3,0.012,0.094,31.4,0.094,0.038,0.017,0.007,0.0,0.002,0.014
port salut cheese,Port Salut Cheese is a nutritious food rich in essential nutrients.,Dairy,,465,31.4,0.8,37.2,0.0,0.8,928.4,0.7,162.4,858.0,0.6,179.5,31.7,3.4,0.4,0.0,0.057,0.3,0.094
swiss cheese,Swiss Cheese is a nutritious food rich in essential nutrients.,Dairy,,98,6.7,0.4,7.7,0.0,0.0,237.396,0.057,23.3,222.5,0.024,18.0,8.3,1.1,0.069,0.0,0.016,0.2,0.056
goat cheese hard,Goat Cheese Hard is a nutritious food rich in essential nutrients.,Dairy,,128,8.6,0.6,10.1,0.0,0.6,273.2,0.076,29.7,253.3,0.5,13.6,15.3,0.4,0.1,0.0,0.044,0.083,0.039
